,tweet_id,retweet_count,favorite_count,retweeted,display_text_range
2035,671561002136281088,7931,13679,False,"[0, 144]"
2036,671550332464455680,229,967,False,"[0, 135]"
2037,671547767500775424,658,1444,False,"[0, 127]"
2038,671544874165002241,1145,2126,False,"[0, 140]"
2039,671542985629241344,616,1166,False,"[0, 140]"
2040,671538301157904385,436,993,False,"[0, 136]"
2041,671536543010570240,441,1253,False,"[0, 130]"
2042,671533943490011136,631,1092,False,"[0, 139]"
2043,671528761649688577,280,896,False,"[0, 130]"
2044,671520732782923777,582,1499,False,"[0, 78]"
2045,671518598289059840,319,1010,False,"[0, 137]"
2046,671511350426865664,791,1734,False,"[0, 122]"
2047,671504605491109889,3866,7495,False,"[0, 92]"
2048,671497587707535361,481,980,False,"[0, 123]"
2049,671488513339211776,516,1073,False,"[0, 138]"
2050,671486386088865792,226,621,False,"[0, 68]"
2051,671485057807351808,253,806,False,"[0, 139]"
2052,671390180817915904,805,1513,False,"[0, 138]"
2053,671362598324076544,325,1193,False,"[0, 113]"
2054,671357843010908160,157,426,False,"[0, 68]"
2055,671355857343524864,119,508,False,"[0, 135]"
2056,671347597085433856,476,1031,False,"[0, 90]"
2057,671186162933985280,241,788,False,"[0, 98]"
2058,671182547775299584,378,1193,False,"[0, 89]"
2059,671166507850801152,390,931,False,"[0, 130]"
2060,671163268581498880,1198,1763,False,"[0, 137]"
2061,671159727754231808,89,401,False,"[0, 137]"
2062,671154572044468225,241,769,False,"[0, 143]"
2063,671151324042559489,166,714,False,"[0, 62]"
2064,671147085991960577,254,713,False,"[0, 140]"
2065,671141549288370177,713,1246,False,"[0, 140]"
2066,671138694582165504,448,996,False,"[0, 57]"
2067,671134062904504320,212,796,False,"[0, 140]"
2068,671122204919246848,2763,3729,False,"[0, 136]"
2069,671115716440031232,842,1436,False,"[0, 140]"
2070,671109016219725825,478,1225,False,"[0, 135]"
2071,670995969505435648,317,1175,False,"[0, 93]"
2072,670842764863651840,4324,7989,False,"[0, 81]"
2073,670840546554966016,213,634,False,"[0, 139]"
2074,670838202509447168,758,1189,False,"[0, 140]"
2075,670833812859932673,135,474,False,"[0, 71]"
